NumCombo,party,profile,content,engagement,media,hashtags,Created?
1,0,0,0,-1,0,0,y
2,0,0,0,0,0,0,y
3,0,0,0,1,0,0,y
4,0,1,0,-1,0,0,y
5,0,1,0,0,0,0,y
6,0,1,0,1,0,0,y
7,0,2,0,-1,0,0,y
8,0,2,0,0,0,0,y
9,0,2,0,1,0,0,y
10,0,3,0,-1,0,0,y
11,0,3,0,0,0,0,y
12,0,3,0,1,0,0,y
13,0,0,0,-1,1,0,y
14,0,0,0,0,1,0,y
15,0,0,0,1,1,0,y
16,0,1,0,-1,1,0,y
17,0,1,0,0,1,0,y
18,0,1,0,1,1,0,y
19,0,2,0,-1,1,0,y
20,0,2,0,0,1,0,y
21,0,2,0,1,1,0,y
22,0,3,0,-1,1,0,y
23,0,3,0,0,1,0,y
24,0,3,0,1,1,0,y
25,0,0,0,-1,0,1,y
26,0,0,0,0,0,1,y
27,0,0,0,1,0,1,y
28,0,1,0,-1,0,1,y
29,0,1,0,0,0,1,y
30,0,1,0,1,0,1,y
31,0,2,0,-1,0,1,y
32,0,2,0,0,0,1,y
33,0,2,0,1,0,1,y
34,0,3,0,-1,0,1,y
35,0,3,0,0,0,1,y
36,0,3,0,1,0,1,y
37,0,0,0,-1,1,1,y
38,0,0,0,0,1,1,y
39,0,0,0,1,1,1,y
40,0,1,0,-1,1,1,y
41,0,1,0,0,1,1,y
42,0,1,0,1,1,1,y
43,0,2,0,-1,1,1,y
44,0,2,0,0,1,1,y
45,0,2,0,1,1,1,y
46,0,3,0,-1,1,1,y
47,0,3,0,0,1,1,y
48,0,3,0,1,1,1,y
49,0,0,1,-1,0,0,y
50,0,0,1,0,0,0,y
51,0,0,1,1,0,0,y
52,0,1,1,-1,0,0,y
53,0,1,1,0,0,0,y
54,0,1,1,1,0,0,y
55,0,2,1,-1,0,0,y
56,0,2,1,0,0,0,y
57,0,2,1,1,0,0,y
58,0,3,1,-1,0,0,y
59,0,3,1,0,0,0,y
60,0,3,1,1,0,0,y
61,0,0,1,-1,1,0,y
62,0,0,1,0,1,0,y
63,0,0,1,1,1,0,y
64,0,1,1,-1,1,0,y
65,0,1,1,0,1,0,y
66,0,1,1,1,1,0,y
67,0,2,1,-1,1,0,y
68,0,2,1,0,1,0,y
69,0,2,1,1,1,0,y
70,0,3,1,-1,1,0,y
71,0,3,1,0,1,0,y
72,0,3,1,1,1,0,y
73,0,0,1,-1,0,1,y
74,0,0,1,0,0,1,y
75,0,0,1,1,0,1,y
76,0,1,1,-1,0,1,y
77,0,1,1,0,0,1,y
78,0,1,1,1,0,1,y
79,0,2,1,-1,0,1,y
80,0,2,1,0,0,1,y
81,0,2,1,1,0,1,y
82,0,3,1,-1,0,1,y
83,0,3,1,0,0,1,y
84,0,3,1,1,0,1,y
85,0,0,1,-1,1,1,y
86,0,0,1,0,1,1,y
87,0,0,1,1,1,1,y
88,0,1,1,-1,1,1,y
89,0,1,1,0,1,1,y
90,0,1,1,1,1,1,y
91,0,2,1,-1,1,1,y
92,0,2,1,0,1,1,y
93,0,2,1,1,1,1,y
94,0,3,1,-1,1,1,y
95,0,3,1,0,1,1,y
96,0,3,1,1,1,1,y
97,1,0,0,-1,0,0,y
98,1,0,0,0,0,0,y
99,1,0,0,1,0,0,y
100,1,1,0,-1,0,0,y
101,1,1,0,0,0,0,y
102,1,1,0,1,0,0,y
103,1,2,0,-1,0,0,y
104,1,2,0,0,0,0,y
105,1,2,0,1,0,0,y
106,1,3,0,-1,0,0,y
107,1,3,0,0,0,0,y
108,1,3,0,1,0,0,y
109,1,0,0,-1,1,0,y
110,1,0,0,0,1,0,y
111,1,0,0,1,1,0,y
112,1,1,0,-1,1,0,y
113,1,1,0,0,1,0,y
114,1,1,0,1,1,0,y
115,1,2,0,-1,1,0,y
116,1,2,0,0,1,0,y
117,1,2,0,1,1,0,y
118,1,3,0,-1,1,0,y
119,1,3,0,0,1,0,y
120,1,3,0,1,1,0,y
121,1,0,0,-1,0,1,y
122,1,0,0,0,0,1,y
123,1,0,0,1,0,1,y
124,1,1,0,-1,0,1,y
125,1,1,0,0,0,1,y
126,1,1,0,1,0,1,y
127,1,2,0,-1,0,1,y
128,1,2,0,0,0,1,y
129,1,2,0,1,0,1,y
130,1,3,0,-1,0,1,y
131,1,3,0,0,0,1,y
132,1,3,0,1,0,1,y
133,1,0,0,-1,1,1,y
134,1,0,0,0,1,1,y
135,1,0,0,1,1,1,y
136,1,1,0,-1,1,1,y
137,1,1,0,0,1,1,y
138,1,1,0,1,1,1,y
139,1,2,0,-1,1,1,y
140,1,2,0,0,1,1,y
141,1,2,0,1,1,1,y
142,1,3,0,-1,1,1,y
143,1,3,0,0,1,1,y
144,1,3,0,1,1,1,y
145,1,0,1,-1,0,0,y
146,1,0,1,0,0,0,y
147,1,0,1,1,0,0,y
148,1,1,1,-1,0,0,y
149,1,1,1,0,0,0,y
150,1,1,1,1,0,0,y
151,1,2,1,-1,0,0,y
152,1,2,1,0,0,0,y
153,1,2,1,1,0,0,y
154,1,3,1,-1,0,0,y
155,1,3,1,0,0,0,y
156,1,3,1,1,0,0,y
157,1,0,1,-1,1,0,y
158,1,0,1,0,1,0,y
159,1,0,1,1,1,0,y
160,1,1,1,-1,1,0,y
161,1,1,1,0,1,0,y
162,1,1,1,1,1,0,y
163,1,2,1,-1,1,0,y
164,1,2,1,0,1,0,y
165,1,2,1,1,1,0,y
166,1,3,1,-1,1,0,y
167,1,3,1,0,1,0,y
168,1,3,1,1,1,0,y
169,1,0,1,-1,0,1,y
170,1,0,1,0,0,1,y
171,1,0,1,1,0,1,y
172,1,1,1,-1,0,1,y
173,1,1,1,0,0,1,y
174,1,1,1,1,0,1,y
175,1,2,1,-1,0,1,y
176,1,2,1,0,0,1,y
177,1,2,1,1,0,1,y
178,1,3,1,-1,0,1,y
179,1,3,1,0,0,1,y
180,1,3,1,1,0,1,y
181,1,0,1,-1,1,1,y
182,1,0,1,0,1,1,y
183,1,0,1,1,1,1,y
184,1,1,1,-1,1,1,y
185,1,1,1,0,1,1,y
186,1,1,1,1,1,1,y
187,1,2,1,-1,1,1,y
188,1,2,1,0,1,1,y
189,1,2,1,1,1,1,y
190,1,3,1,-1,1,1,y
191,1,3,1,0,1,1,y
192,1,3,1,1,1,1,y
